attachments_num,email_subject_length,content_transfer_encoding_base64_num,content_disposition_attachment_num,content_disposition_num,content_disposition_unique_num,attachments_total_size,content_type_multipart_mixed_num,content_type_total_num,content_type_unique_num,content_transfer_encoding_unique_num,content_transfer_encoding_total_num,email_span_time,total_size_EmailMessage_in_bytes,email_eml_string_total_size_in_bytes,body_plain_text_length,Classification
0,26,0,0,0,0,0,0,2,2,1,2,451,56,3863,221,Phishing
0,16,0,0,0,0,0,0,2,2,1,2,2505,56,7948,745,Phishing
1,20,0,1,1,1,35046,0,3,3,1,3,332126,56,40858,923,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,83490,56,17978,306,Phishing
0,47,0,0,0,0,0,0,2,2,1,2,1737,56,13058,932,Phishing
0,33,0,0,0,0,0,0,2,2,1,2,630,56,15184,1035,Phishing
0,33,0,0,0,0,0,0,2,2,1,2,1100,56,15183,1035,Phishing
0,49,0,0,0,0,0,0,2,2,1,2,1605,56,7397,789,Phishing
1,36,1,1,1,1,96540,0,2,2,2,2,169,56,135106,193,Phishing
1,36,1,1,1,1,96540,0,2,2,2,2,3223,56,135298,194,Phishing
1,37,1,1,1,1,79491,0,3,3,2,3,126,56,110826,1,Phishing
1,37,1,1,1,1,79465,0,3,3,2,3,799,56,110980,0,Phishing
1,37,1,0,0,0,33647,0,2,2,2,2,12,56,51896,0,Phishing
0,35,0,0,0,0,0,0,2,2,1,2,3879,56,10942,402,Phishing
0,35,0,0,0,0,0,0,2,2,1,2,3019,56,10944,402,Phishing
0,35,0,0,0,0,0,0,2,2,1,2,7,56,11488,403,Phishing
0,26,0,0,0,0,0,0,2,2,1,2,311,56,10137,678,Phishing
0,32,0,0,0,0,0,0,2,2,1,2,4,56,7951,362,Phishing
0,42,0,0,0,0,0,0,1,1,1,1,6,56,2595,116,Phishing
0,31,0,0,0,0,0,0,2,2,1,2,117818,56,15499,1058,Phishing
10,62,10,0,0,0,4460,0,11,11,2,11,41,56,26007,0,Phishing
0,0,0,0,0,0,0,0,2,2,1,2,2594,56,4367,313,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,9,56,14955,2032,Phishing
1,37,1,1,1,1,79497,0,3,3,2,3,131,56,110569,0,Phishing
1,37,1,1,1,1,79497,0,3,3,2,3,341,56,110619,0,Phishing
1,21,0,1,1,1,5195,0,4,3,1,4,83,56,18518,109,Phishing
1,12,1,1,1,1,6757,0,3,3,2,3,573,56,11039,289,Phishing
0,66,1,0,0,0,0,0,2,2,2,2,1,56,52686,10103,Normal
0,51,1,0,0,0,0,0,2,2,2,2,0,56,49125,9191,Normal
0,55,1,0,0,0,0,0,2,2,2,2,0,56,23080,3537,Normal
0,58,1,0,0,0,0,0,2,2,2,2,1,56,46012,7983,Normal
0,58,1,0,0,0,0,0,2,2,2,2,0,56,58496,10670,Normal
0,82,1,0,0,0,0,0,2,2,2,2,0,56,69551,14759,Normal
0,66,1,0,0,0,0,0,2,2,2,2,1,56,45304,7732,Normal
0,68,1,0,0,0,0,0,2,2,2,2,0,56,74981,17268,Normal
0,67,1,0,0,0,0,0,2,2,2,2,0,56,62173,12011,Normal
0,67,1,0,0,0,0,0,2,2,2,2,0,56,61465,11489,Normal
0,66,1,0,0,0,0,0,2,2,2,2,0,56,66621,12392,Normal
0,65,1,0,0,0,0,0,2,2,2,2,1,56,66206,12956,Normal
0,73,1,0,0,0,0,0,2,2,2,2,0,56,68279,13782,Normal
0,75,1,0,0,0,0,0,2,2,2,2,0,56,58983,10885,Normal
0,77,1,0,0,0,0,0,2,2,2,2,0,56,60479,11250,Normal
0,74,1,0,0,0,0,0,2,2,2,2,1,56,16610,2699,Normal
0,75,1,0,0,0,0,0,2,2,2,2,1,56,57569,12129,Normal
0,67,1,0,0,0,0,0,2,2,2,2,1,56,63053,14950,Normal
0,67,1,0,0,0,0,0,2,2,2,2,0,56,51942,9778,Normal
0,53,1,0,0,0,0,0,2,2,2,2,0,56,11565,1154,Normal
0,78,1,0,0,0,0,0,2,2,2,2,1,56,72337,13766,Normal
0,78,1,0,0,0,0,0,2,2,2,2,0,56,29868,5090,Normal
0,76,1,0,0,0,0,0,2,2,2,2,0,56,18341,2719,Normal
0,76,1,0,0,0,0,0,2,2,2,2,0,56,12835,1677,Normal
0,76,1,0,0,0,0,0,2,2,2,2,0,56,15466,2273,Normal
0,76,1,0,0,0,0,0,2,2,2,2,0,56,58949,12291,Normal
0,66,1,0,0,0,0,0,2,2,2,2,0,56,66741,13146,Normal
0,76,1,0,0,0,0,0,2,2,2,2,0,56,46317,11703,Normal
0,76,1,0,0,0,0,0,2,2,2,2,0,56,27041,7375,Normal
0,54,1,0,0,0,0,0,2,2,2,2,1,56,46876,8384,Normal
0,65,1,0,0,0,0,0,2,2,2,2,1,56,45250,11221,Normal
0,65,1,0,0,0,0,0,2,2,2,2,0,56,15825,2451,Normal
0,65,1,0,0,0,0,0,2,2,2,2,1,56,62660,11959,Normal
0,45,1,0,0,0,0,0,2,2,2,2,1,56,14239,1758,Normal
0,45,1,0,0,0,0,0,2,2,2,2,0,56,68743,13641,Normal
0,72,1,0,0,0,0,0,2,2,2,2,0,56,31915,5503,Normal
0,72,1,0,0,0,0,0,2,2,2,2,0,56,17550,2378,Normal
0,71,1,0,0,0,0,0,2,2,2,2,0,56,30897,5045,Normal
